query_sample_id,query_index,query_label,query_project,query_cve,query_code_chars,query_code_lines,query_codebert_tokens,query_truncated_for_embedding,embedding_token_window,rank,faiss_l2_distance,retrieved_index,retrieved_sample_id,retrieved_label,label_matches_query,retrieved_project,retrieved_cve,retrieved_cve_normalized,same_cve,retrieved_dataset_type,retrieved_source,retrieved_code_chars,retrieved_code_lines,retrieved_codebert_tokens,lexical_jaccard,query_snippet,retrieved_snippet
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,1,5.49578857421875,362,trace-csv::363,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,223,1,106,0.034482758620689655,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); return p; return buf; while ((fn = zreaddir(lock, 1)) && !errflag) { sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,2,5.59967041015625,353,trace-csv::354,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.031746031746031744,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =..."
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,3,5.59967041015625,355,trace-csv::356,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.031746031746031744,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =..."
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,4,5.59967041015625,357,trace-csv::358,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.031746031746031744,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =..."
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,5,5.59967041015625,359,trace-csv::360,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.031746031746031744,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =..."
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,6,5.59967041015625,361,trace-csv::362,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.031746031746031744,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =..."
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,1,5.4652099609375,362,trace-csv::363,Vulnerable,False,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,223,1,106,0.01818181818181818,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); return p; return buf; while ((fn = zreaddir(lock, 1)) && !errflag) { sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,2,5.81689453125,353,trace-csv::354,Vulnerable,False,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.016666666666666666,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =..."
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,3,5.81689453125,355,trace-csv::356,Vulnerable,False,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.016666666666666666,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =..."
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,4,5.81689453125,357,trace-csv::358,Vulnerable,False,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.016666666666666666,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =..."
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,5,5.81689453125,359,trace-csv::360,Vulnerable,False,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.016666666666666666,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =..."
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,6,5.81689453125,361,trace-csv::362,Vulnerable,False,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,358,1,174,0.016666666666666666,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); if (!old && !p) if (p >= arena(h) && p < arena(h) + ARENA_SIZEOF(h)) if (p + old < arena(h) + h->used) { if (p =..."
3,2,Vulnerable,php-src__CVE-2015-8617,CVE-2015-8617,405,1,153,False,tail_512,1,8.66510009765625,206,trace-csv::207,Vulnerable,True,picocom-2.0a,CVE-2015-9059,CVE-2015-9059,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,270,1,115,0.023809523809523808,"zend_throw_or_error(fetch_type, NULL, ""Class '%s' not found"", ZSTR_VAL(class_name));static void zend_throw_or_error(int fetch_type, zend_class_entry *exception_ce, const char *format, ...)zend_vspprintf(&message, 0, f...","if (fgets(buf,LINENOISE_MAX_LINE,stdin) == NULL) return NULL; add_send_receive_history(fname); linenoiseHistoryAdd(fname); if (history_len && !strcmp(history[history_len-1], line)) return 0; run_cmd(tty_fd, xfr_cmd, f..."
3,2,Vulnerable,php-src__CVE-2015-8617,CVE-2015-8617,405,1,153,False,tail_512,2,8.8104248046875,205,trace-csv::206,Vulnerable,True,picocom-2.0a,CVE-2015-9059,CVE-2015-9059,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,199,1,89,0.02631578947368421,"zend_throw_or_error(fetch_type, NULL, ""Class '%s' not found"", ZSTR_VAL(class_name));static void zend_throw_or_error(int fetch_type, zend_class_entry *exception_ce, const char *format, ...)zend_vspprintf(&message, 0, f...","if (fgets(buf,LINENOISE_MAX_LINE,stdin) == NULL) return NULL; add_send_receive_history(fname); linenoiseHistoryAdd(fname); run_cmd(tty_fd, xfr_cmd, fname); execl(""/bin/sh"", ""sh"", ""-c"", cmd, NULL);"
3,2,Vulnerable,php-src__CVE-2015-8617,CVE-2015-8617,405,1,153,False,tail_512,3,9.0582275390625,207,trace-csv::208,Vulnerable,True,picocom-2.0a,CVE-2015-9059,CVE-2015-9059,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,226,1,103,0.02564102564102564,"zend_throw_or_error(fetch_type, NULL, ""Class '%s' not found"", ZSTR_VAL(class_name));static void zend_throw_or_error(int fetch_type, zend_class_entry *exception_ce, const char *format, ...)zend_vspprintf(&message, 0, f...","if (fgets(buf,LINENOISE_MAX_LINE,stdin) == NULL) return NULL; return strdup(buf); add_send_receive_history(fname); linenoiseHistoryAdd(fname); run_cmd(tty_fd, xfr_cmd, fname); execl(""/bin/sh"", ""sh"", ""-c"", cmd, NULL);"
3,2,Vulnerable,php-src__CVE-2015-8617,CVE-2015-8617,405,1,153,False,tail_512,4,9.26007080078125,190,trace-csv::191,Vulnerable,True,picocom-2.0a,CVE-2015-9059,CVE-2015-9059,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,214,1,99,0.02564102564102564,"zend_throw_or_error(fetch_type, NULL, ""Class '%s' not found"", ZSTR_VAL(class_name));static void zend_throw_or_error(int fetch_type, zend_class_entry *exception_ce, const char *format, ...)zend_vspprintf(&message, 0, f...","if (fgets(buf, buflen, stdin) == NULL) return -1; return strdup(buf); add_send_receive_history(fname); linenoiseHistoryAdd(fname); run_cmd(tty_fd, xfr_cmd, fname); execl(""/bin/sh"", ""sh"", ""-c"", cmd, NULL);"
3,2,Vulnerable,php-src__CVE-2015-8617,CVE-2015-8617,405,1,153,False,tail_512,5,9.288330078125,208,trace-csv::209,Vulnerable,True,picocom-2.0a,CVE-2015-9059,CVE-2015-9059,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,297,1,129,0.023255813953488372,"zend_throw_or_error(fetch_type, NULL, ""Class '%s' not found"", ZSTR_VAL(class_name));static void zend_throw_or_error(int fetch_type, zend_class_entry *exception_ce, const char *format, ...)zend_vspprintf(&message, 0, f...","if (fgets(buf,LINENOISE_MAX_LINE,stdin) == NULL) return NULL; return strdup(buf); add_send_receive_history(fname); linenoiseHistoryAdd(fname); if (history_len && !strcmp(history[history_len-1], line)) return 0; run_cm..."
3,2,Vulnerable,php-src__CVE-2015-8617,CVE-2015-8617,405,1,153,False,tail_512,6,9.43572998046875,191,trace-csv::192,Vulnerable,True,picocom-2.0a,CVE-2015-9059,CVE-2015-9059,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,231,1,108,0.02564102564102564,"zend_throw_or_error(fetch_type, NULL, ""Class '%s' not found"", ZSTR_VAL(class_name));static void zend_throw_or_error(int fetch_type, zend_class_entry *exception_ce, const char *format, ...)zend_vspprintf(&message, 0, f...","if (fgets(buf, buflen, stdin) == NULL) return -1; if (count && buf[count-1] == '\n') { add_send_receive_history(fname); linenoiseHistoryAdd(fname); run_cmd(tty_fd, xfr_cmd, fname); execl(""/bin/sh"", ""sh"", ""-c"", cmd, NU..."
4,3,Safe,php-src__CVE-2015-8617,CVE-2015-8617,411,1,156,False,tail_512,1,8.73406982421875,206,trace-csv::207,Vulnerable,False,picocom-2.0a,CVE-2015-9059,CVE-2015-9059,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,270,1,115,0.023809523809523808,"zend_throw_or_error(fetch_type, NULL, ""Class '%s' not found"", ZSTR_VAL(class_name));static void zend_throw_or_error(int fetch_type, zend_class_entry *exception_ce, const char *format, ...)zend_vspprintf(&message, 0, f...","if (fgets(buf,LINENOISE_MAX_LINE,stdin) == NULL) return NULL; add_send_receive_history(fname); linenoiseHistoryAdd(fname); if (history_len && !strcmp(history[history_len-1], line)) return 0; run_cmd(tty_fd, xfr_cmd, f..."
4,3,Safe,php-src__CVE-2015-8617,CVE-2015-8617,411,1,156,False,tail_512,2,8.8292236328125,205,trace-csv::206,Vulnerable,False,picocom-2.0a,CVE-2015-9059,CVE-2015-9059,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,199,1,89,0.02631578947368421,"zend_throw_or_error(fetch_type, NULL, ""Class '%s' not found"", ZSTR_VAL(class_name));static void zend_throw_or_error(int fetch_type, zend_class_entry *exception_ce, const char *format, ...)zend_vspprintf(&message, 0, f...","if (fgets(buf,LINENOISE_MAX_LINE,stdin) == NULL) return NULL; add_send_receive_history(fname); linenoiseHistoryAdd(fname); run_cmd(tty_fd, xfr_cmd, fname); execl(""/bin/sh"", ""sh"", ""-c"", cmd, NULL);"
4,3,Safe,php-src__CVE-2015-8617,CVE-2015-8617,411,1,156,False,tail_512,3,8.89312744140625,77,trace-csv::78,Vulnerable,False,autotrace-20200219.65,CVE-2017-9181,CVE-2017-9181,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,398,1,153,0.02127659574468085,"zend_throw_or_error(fetch_type, NULL, ""Class '%s' not found"", ZSTR_VAL(class_name));static void zend_throw_or_error(int fetch_type, zend_class_entry *exception_ce, const char *format, ...)zend_vspprintf(&message, 0, f...","if (!ReadOK(fd, buffer, 8)) { Bitmap_Head.biWidth = ToS(&buffer[0x00]); /* 12 */ return ((short)(puffer[0] | puffer[1] << 8)); if ((Bitmap_Head.biHeight == 0 || Bitmap_Head.biWidth == 0) image_storage = ReadImage(fd, ..."
4,3,Safe,php-src__CVE-2015-8617,CVE-2015-8617,411,1,156,False,tail_512,4,8.89312744140625,80,trace-csv::81,Vulnerable,False,autotrace-20200219.65,CVE-2017-9181,CVE-2017-9181,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,398,1,153,0.02127659574468085,"zend_throw_or_error(fetch_type, NULL, ""Class '%s' not found"", ZSTR_VAL(class_name));static void zend_throw_or_error(int fetch_type, zend_class_entry *exception_ce, const char *format, ...)zend_vspprintf(&message, 0, f...","if (!ReadOK(fd, buffer, 8)) { Bitmap_Head.biWidth = ToS(&buffer[0x00]); /* 12 */ return ((short)(puffer[0] | puffer[1] << 8)); if ((Bitmap_Head.biHeight == 0 || Bitmap_Head.biWidth == 0) image_storage = ReadImage(fd, ..."
4,3,Safe,php-src__CVE-2015-8617,CVE-2015-8617,411,1,156,False,tail_512,5,8.98565673828125,207,trace-csv::208,Vulnerable,False,picocom-2.0a,CVE-2015-9059,CVE-2015-9059,False,test,dataset/signature_db_Vul_data_with_cve_known.csv,226,1,103,0.02564102564102564,"zend_throw_or_error(fetch_type, NULL, ""Class '%s' not found"", ZSTR_VAL(class_name));static void zend_throw_or_error(int fetch_type, zend_class_entry *exception_ce, const char *format, ...)zend_vspprintf(&message, 0, f...","if (fgets(buf,LINENOISE_MAX_LINE,stdin) == NULL) return NULL; return strdup(buf); add_send_receive_history(fname); linenoiseHistoryAdd(fname); run_cmd(tty_fd, xfr_cmd, fname); execl(""/bin/sh"", ""sh"", ""-c"", cmd, NULL);"
